Character,Win,Stage,L-Cancel Successes,L-Cancel Failures,Max Combo,Mean X Distance,Platform
FALCO,1,BATTLEFIELD,42,11,2,0.197847818042493,top_platform
MARTH,0,BATTLEFIELD,20,6,1,0.3151785714285714,right_platform
FALCO,0,FOUNTAIN_OF_DREAMS,29,19,2,0.18587276730171132,left_platform
MARTH,1,FOUNTAIN_OF_DREAMS,24,1,2,0.0,left_ledge
FALCO,0,YOSHIS_STORY,27,9,1,0.15421105257118314,left_platform
MARTH,1,YOSHIS_STORY,19,5,1,0.006012024048096177,right_platform
CAPTAIN_FALCON,0,YOSHIS_STORY,53,11,2,0.2053496798814081,left_platform
FOX,1,YOSHIS_STORY,38,4,4,0.006012024048096177,right_platform
CAPTAIN_FALCON,0,DREAM_LAND_N64,26,2,1,0.17776393507273394,right_platform
FOX,1,DREAM_LAND_N64,25,6,5,0.0,right_platform
FALCO,0,BATTLEFIELD,19,4,1,0.12623936023404725,right_platform
MARTH,1,BATTLEFIELD,40,2,1,0.17857142857142858,right_platform
FALCO,0,BATTLEFIELD,25,11,4,0.17543317212301587,right_platform
MARTH,1,BATTLEFIELD,35,7,2,0.17857142857142858,right_platform
SAMUS,0,BATTLEFIELD,17,9,2,0.15174777936303388,left_platform
FOX,1,BATTLEFIELD,5,4,12,0.05714285714285715,left_platform
SAMUS,0,YOSHIS_STORY,36,7,4,0.2061096270351133,left_platform
FOX,1,YOSHIS_STORY,9,7,12,0.006012024048096177,right_ledge
CAPTAIN_FALCON,1,BATTLEFIELD,7,0,0,0.16795521924986212,right_ledge
MARTH,0,BATTLEFIELD,17,0,1,0.008883928571428572,left_platform
CAPTAIN_FALCON,1,BATTLEFIELD,42,3,2,0.19602692581257006,right_platform
MARTH,0,BATTLEFIELD,19,5,1,0.05714285714285715,right_platform
CAPTAIN_FALCON,1,YOSHIS_STORY,41,11,1,0.22427460176663505,top_platform
MARTH,0,YOSHIS_STORY,19,7,2,0.006012024048096177,left_platform
JIGGLYPUFF,1,YOSHIS_STORY,46,2,8,0.23664909845759033,right_platform
JIGGLYPUFF,0,YOSHIS_STORY,28,8,4,0.2464929859719439,left_platform
JIGGLYPUFF,1,FINAL_DESTINATION,56,0,6,0.22875399530083027,right_ledge
JIGGLYPUFF,0,FINAL_DESTINATION,32,7,7,0.34784552845528455,left_ledge
SAMUS,1,BATTLEFIELD,67,1,4,0.22144239127119678,right_platform
FOX,0,BATTLEFIELD,16,3,12,0.05714285714285715,left_platform
SAMUS,1,DREAM_LAND_N64,57,4,4,0.20366300335114146,top_platform
FOX,0,DREAM_LAND_N64,9,7,12,0.31054901960784315,left_ledge
JIGGLYPUFF,0,BATTLEFIELD,43,5,4,0.2018135492540526,left_platform
FOX,1,BATTLEFIELD,16,6,2,0.05964285714285714,left_platform
JIGGLYPUFF,1,FINAL_DESTINATION,30,1,4,0.18373848167128326,right_ledge
FOX,0,FINAL_DESTINATION,6,2,1,0.881869918699187,right_ledge
JIGGLYPUFF,1,FOUNTAIN_OF_DREAMS,40,5,4,0.1737847342995169,right_platform
FOX,0,FOUNTAIN_OF_DREAMS,13,6,4,0.0,right_platform
FOX,1,FINAL_DESTINATION,15,1,5,0.25223160498660807,left_ledge
GANONDORF,0,FINAL_DESTINATION,0,0,0,0.33121951219512197,right_ledge
FOX,1,BATTLEFIELD,7,0,0,0.25871223864603105,left_platform
GANONDORF,0,BATTLEFIELD,1,1,1,0.1858482142857143,right_ledge
FOX,1,BATTLEFIELD,24,0,1,0.19975231077925068,top_platform
GANONDORF,0,BATTLEFIELD,23,1,3,0.5312946428571429,right_platform
CAPTAIN_FALCON,1,DREAM_LAND_N64,49,2,2,0.18905847814569923,right_platform
FOX,0,DREAM_LAND_N64,17,1,3,0.18274509803921568,right_platform
FALCO,1,BATTLEFIELD,29,2,1,0.22410901184798243,top_platform
FALCO,0,BATTLEFIELD,15,4,4,0.05714285714285715,right_platform
FALCO,0,DREAM_LAND_N64,39,7,2,0.17864208692431022,left_platform
FALCO,1,DREAM_LAND_N64,27,6,4,0.0,left_platform
FALCO,1,YOSHIS_STORY,43,2,4,0.2253282137015897,left_platform
FALCO,0,YOSHIS_STORY,21,1,4,0.006012024048096177,top_platform
SHEIK,0,FOUNTAIN_OF_DREAMS,14,0,1,0.23634603650529962,left_platform
MARTH,1,FOUNTAIN_OF_DREAMS,20,6,1,0.07290566037735849,right_ledge
SHEIK,1,FOUNTAIN_OF_DREAMS,19,0,6,0.2523322621920469,right_ledge
MARTH,0,FOUNTAIN_OF_DREAMS,29,5,2,0.3328301886792453,right_platform
SHEIK,1,FINAL_DESTINATION,18,2,6,0.25953104630243806,right_ledge
MARTH,0,FINAL_DESTINATION,34,5,2,0.3592276422764228,right_ledge
