Character,Win,Stage,L-Cancel Successes,L-Cancel Failures,Max Combo,Mean X Distance,Platform_left_ledge,Platform_left_platform,Platform_right_ledge,Platform_right_platform,Platform_top_platform
MARTH,0,BATTLEFIELD,19,4,1,0.1262393602340472,0.0,0.0,0.0,1.0,0.0
FALCO,1,BATTLEFIELD,19,4,1,0.1785714285714285,0.0,0.0,0.0,1.0,0.0
MARTH,0,BATTLEFIELD,25,11,4,0.1754331721230158,0.0,0.0,0.0,1.0,0.0
FALCO,1,BATTLEFIELD,25,11,2,0.1785714285714285,0.0,0.0,0.0,1.0,0.0
SAMUS,0,BATTLEFIELD,17,9,2,0.1517477793630338,0.0,1.0,0.0,0.0,0.0
FOX,1,BATTLEFIELD,17,9,12,0.0571428571428571,0.0,1.0,0.0,0.0,0.0
SAMUS,0,YOSHIS_STORY,36,7,4,0.2061096270351133,0.0,1.0,0.0,0.0,0.0
FOX,1,YOSHIS_STORY,36,7,12,0.0060120240480961,0.0,0.0,1.0,0.0,0.0
MARTH,1,BATTLEFIELD,7,0,0,0.1679552192498621,0.0,0.0,1.0,0.0,0.0
CAPTAIN_FALCON,0,BATTLEFIELD,7,0,1,0.0088839285714285,0.0,1.0,0.0,0.0,0.0
MARTH,1,BATTLEFIELD,42,3,2,0.19602692581257,0.0,0.0,0.0,1.0,0.0
CAPTAIN_FALCON,0,BATTLEFIELD,42,3,1,0.0571428571428571,0.0,0.0,0.0,1.0,0.0
MARTH,1,YOSHIS_STORY,41,11,1,0.224274601766635,0.0,0.0,0.0,0.0,1.0
CAPTAIN_FALCON,0,YOSHIS_STORY,41,11,2,0.0060120240480961,0.0,1.0,0.0,0.0,0.0
JIGGLYPUFF,1,YOSHIS_STORY,46,2,8,0.2366490984575903,0.0,0.0,0.0,1.0,0.0
JIGGLYPUFF,0,YOSHIS_STORY,46,2,4,0.2464929859719439,0.0,1.0,0.0,0.0,0.0
JIGGLYPUFF,1,FINAL_DESTINATION,56,0,6,0.2287539953008302,0.0,0.0,1.0,0.0,0.0
JIGGLYPUFF,0,FINAL_DESTINATION,56,0,7,0.3478455284552845,1.0,0.0,0.0,0.0,0.0
SAMUS,1,BATTLEFIELD,67,1,4,0.2214423912711967,0.0,0.0,0.0,1.0,0.0
FOX,0,BATTLEFIELD,67,1,12,0.0571428571428571,0.0,1.0,0.0,0.0,0.0
